report_year,agency_code,agency_jurisdiction,population,assaults,months_reported,assaults_percapita
1975,NM00101,"Albuquerque, NM",286238,1353,12,472.68
1975,TX22001,"Arlington, TX",112478,132,12,117.36
1975,GAAPD00,"Atlanta, GA",490584,3518,12,717.1
1975,CO00101,"Aurora, CO",116656,389,12,333.46
1975,TX22701,"Austin, TX",300400,463,12,154.13
1975,MD00301,"Baltimore County, MD",642154,347,12,54.04
1975,MDBPD00,"Baltimore, MD",864100,6309,12,730.12
1975,MA01301,"Boston, MA",616120,3036,12,492.76
1975,NY01401,"Buffalo, NY",422276,755,12,178.79
1975,NC06001,"Charlotte, NC",262103,976,12,372.37
1975,ILCPD00,"Chicago, IL",3150000,12514,12,397.27
1975,OHCIP00,"Cincinnati, OH",433367,1508,12,347.97
1975,OHCLP00,"Cleveland, OH",659931,2524,12,382.46
1975,OHCOP00,"Columbus, OH",572797,1100,12,192.04
1975,TXDPD00,"Dallas, TX",864665,3485,12,403.05
1975,CODPD00,"Denver, CO",508140,1838,12,361.71
1975,MI82349,"Detroit, MI",1432444,7013,12,489.58
1975,TX07102,"El Paso, TX",369000,635,12,172.09
1975,VA02901,"Fairfax County, VA",487905,247,12,50.62
1975,TX22012,"Fort Worth, TX",381275,494,12,129.57
1975,CA01005,"Fresno, CA",176500,465,12,263.46
1975,HI00200,"Honolulu, HI",705262,319,12,45.23
1975,TXHPD00,"Houston, TX",1372342,1567,12,114.18
1975,INIPD00,"Indianapolis, IN",503411,1117,12,221.89
1975,FL01602,"Jacksonville, FL",542792,2445,12,450.45
1975,MOKPD00,"Kansas City, MO",489094,2575,12,526.48
1975,NV00201,"Las Vegas, NV",249186,1043,12,418.56
1975,CA01941,"Long Beach, CA",340758,1007,12,295.52
1975,CA01900,"Los Angeles County, CA",1022888,6128,12,599.09
1975,CA01942,"Los Angeles, CA",2729878,13493,12,494.27
1975,KY05680,"Louisville, KY",,,,
1975,TNMPD00,"Memphis, TN",646483,1805,12,279.2
1975,AZ00717,"Mesa, AZ",113176,145,12,128.12
1975,FL01300,"Miami-Dade County, FL",619795,4008,11,646.67
1975,FL01306,"Miami, FL",350742,3280,12,935.16
1975,WIMPD00,"Milwaukee, WI",674369,1020,12,151.25
1975,MN02711,"Minneapolis, MN",405378,1134,12,279.74
1975,MD01604,"Montgomery County, MD",496092,286,12,57.65
1975,TN01901,"Nashville, TN",449600,952,12,211.74
1975,NY02900,"Nassau County, NY",1100426,256,12,23.26
1975,LANPD00,"New Orleans, LA",571934,2002,12,350.04
1975,NY03030,"New York City, NY",7422506,43481,12,585.8
1975,NJNPD00,"Newark, NJ",372663,2444,12,655.82
1975,CA00109,"Oakland, CA",337748,2288,12,677.43
1975,OK05506,"Oklahoma City, OK",384081,1364,12,355.13
