report_year,agency_code,agency_jurisdiction,population,rapes,months_reported,rapes_percapita
1975,NM00101,"Albuquerque, NM",286238,181,12,63.23
1975,TX22001,"Arlington, TX",112478,28,12,24.89
1975,GAAPD00,"Atlanta, GA",490584,443,12,90.3
1975,CO00101,"Aurora, CO",116656,44,12,37.72
1975,TX22701,"Austin, TX",300400,190,12,63.25
1975,MD00301,"Baltimore County, MD",642154,137,12,21.33
1975,MDBPD00,"Baltimore, MD",864100,463,12,53.58
1975,MA01301,"Boston, MA",616120,453,12,73.52
1975,NY01401,"Buffalo, NY",422276,192,12,45.47
1975,NC06001,"Charlotte, NC",262103,71,12,27.09
1975,ILCPD00,"Chicago, IL",3150000,1657,12,52.6
1975,OHCIP00,"Cincinnati, OH",433367,261,12,60.23
1975,OHCLP00,"Cleveland, OH",659931,491,12,74.4
1975,OHCOP00,"Columbus, OH",572797,416,12,72.63
1975,TXDPD00,"Dallas, TX",864665,547,12,63.26
1975,CODPD00,"Denver, CO",508140,480,12,94.46
1975,MI82349,"Detroit, MI",1432444,1424,12,99.41
1975,TX07102,"El Paso, TX",369000,122,12,33.06
1975,VA02901,"Fairfax County, VA",487905,104,12,21.32
1975,TX22012,"Fort Worth, TX",381275,169,12,44.32
1975,CA01005,"Fresno, CA",176500,84,12,47.59
1975,HI00200,"Honolulu, HI",705262,169,12,23.96
1975,TXHPD00,"Houston, TX",1372342,588,12,42.85
1975,INIPD00,"Indianapolis, IN",503411,351,12,69.72
1975,FL01602,"Jacksonville, FL",542792,316,12,58.22
1975,MOKPD00,"Kansas City, MO",489094,302,12,61.75
1975,NV00201,"Las Vegas, NV",249186,169,12,67.82
1975,CA01941,"Long Beach, CA",340758,169,12,49.6
1975,CA01900,"Los Angeles County, CA",1022888,471,12,46.05
1975,CA01942,"Los Angeles, CA",2729878,1768,12,64.76
1975,KY05680,"Louisville, KY",,,,
1975,TNMPD00,"Memphis, TN",646483,521,12,80.59
1975,AZ00717,"Mesa, AZ",113176,22,12,19.44
1975,FL01300,"Miami-Dade County, FL",619795,174,11,28.07
1975,FL01306,"Miami, FL",350742,178,12,50.75
1975,WIMPD00,"Milwaukee, WI",674369,146,12,21.65
1975,MN02711,"Minneapolis, MN",405378,307,12,75.73
1975,MD01604,"Montgomery County, MD",496092,84,12,16.93
1975,TN01901,"Nashville, TN",449600,110,12,24.47
1975,NY02900,"Nassau County, NY",1100426,33,12,3
1975,LANPD00,"New Orleans, LA",571934,237,12,41.44
1975,NY03030,"New York City, NY",7422506,3866,12,52.08
1975,NJNPD00,"Newark, NJ",372663,297,12,79.7
1975,CA00109,"Oakland, CA",337748,316,12,93.56
1975,OK05506,"Oklahoma City, OK",384081,249,12,64.83
1975,NB02802,"Omaha, NE",391389,178,12,45.48
1975,FL04804,"Orlando, FL",118457,86,12,72.6
1975,PAPEP00,"Philadelphia, PA",1883253,716,12,38.02
1975,AZ00723,"Phoenix, AZ",668046,311,12,46.55
1975,PAPPD00,"Pittsburgh, PA",479083,237,12,49.47
1975,OR02602,"Portland, OR",373126,287,12,76.92
1975,MD01721,"Prince George's County, MD",569452,261,12,45.83
1975,NC09201,"Raleigh, NC",149940,20,12,13.34
1975,CA03404,"Sacramento, CA",262994,155,12,58.94
1975,UT01803,"Salt Lake City, UT",180000,99,12,55
1975,TXSPD00,"San Antonio, TX",768814,275,12,35.77
1975,CA03711,"San Diego, CA",768713,229,12,29.79
1975,CA03801,"San Francisco, CA",669977,547,12,81.64
1975,CA04313,"San Jose, CA",549367,234,12,42.59
1975,WASPD00,"Seattle, WA",503500,324,12,64.35
1975,MOSPD00,"St. Louis, MO",569000,462,12,81.2
1975,NY05101,"Suffolk County, NY",1217700,90,9,7.39
1975,FL02902,"Tampa, FL",291103,162,12,55.65
1975,AZ01003,"Tucson, AZ",340500,137,12,40.23
1975,OK07205,"Tulsa, OK",347600,136,12,39.13
1975,VA12800,"Virginia Beach, VA",217192,38,12,17.5
1975,DCMPD00,"Washington, DC",716000,520,12,72.63
1975,KS08703,"Wichita, KS",259240,53,12,20.44
1975,,United States,,,,
1976,NM00101,"Albuquerque, NM",292265,186,12,63.64
1976,TX22001,"Arlington, TX",107470,30,12,27.91
1976,GAAPD00,"Atlanta, GA",457300,477,12,104.31
1976,CO00101,"Aurora, CO",132000,40,12,30.3
1976,TX22701,"Austin, TX",284908,181,12,63.53
1976,MD00301,"Baltimore County, MD",642369,142,12,22.11
1976,MDBPD00,"Baltimore, MD",860974,460,12,53.43
1976,MA01301,"Boston, MA",619437,392,12,63.28
1976,NY01401,"Buffalo, NY",425101,202,12,47.52
1976,NC06001,"Charlotte, NC",274020,84,12,30.65
1976,ILCPD00,"Chicago, IL",3134499,1179,12,37.61
1976,OHCIP00,"Cincinnati, OH",427045,263,12,61.59
1976,OHCLP00,"Cleveland, OH",642298,498,12,77.53
1976,OHCOP00,"Columbus, OH",595500,328,12,55.08
1976,TXDPD00,"Dallas, TX",888450,591,12,66.52
1976,CODPD00,"Denver, CO",523676,383,12,73.14
1976,MI82349,"Detroit, MI",1334100,1230,12,92.2
1976,TX07102,"El Paso, TX",361413,118,12,32.65
1976,VA02901,"Fairfax County, VA",524272,84,12,16.02
1976,TX22012,"Fort Worth, TX",364302,174,12,47.76
1976,CA01005,"Fresno, CA",177900,55,12,30.92
1976,HI00200,"Honolulu, HI",718424,164,12,22.83
1976,TXHPD00,"Houston, TX",1477000,690,12,46.72
1976,INIPD00,"Indianapolis, IN",494730,347,12,70.14
1976,FL01602,"Jacksonville, FL",543839,279,12,51.3
1976,MOKPD00,"Kansas City, MO",488012,350,12,71.72
1976,NV00201,"Las Vegas, NV",265347,151,12,56.91
1976,CA01941,"Long Beach, CA",340900,200,12,58.67
1976,CA01900,"Los Angeles County, CA",1027865,564,12,54.87
1976,CA01942,"Los Angeles, CA",2739100,2047,12,74.73
1976,KY05680,"Louisville, KY",,,,
1976,TNMPD00,"Memphis, TN",649819,472,12,72.64
1976,AZ00717,"Mesa, AZ",100763,15,12,14.89
1976,FL01300,"Miami-Dade County, FL",649499,216,12,33.26
1976,FL01306,"Miami, FL",338721,145,12,42.81
1976,WIMPD00,"Milwaukee, WI",652517,168,12,25.75
1976,MN02711,"Minneapolis, MN",397421,300,12,75.49
1976,MD01604,"Montgomery County, MD",480055,85,12,17.71
1976,TN01901,"Nashville, TN",445979,129,12,28.93
1976,NY02900,"Nassau County, NY",1053093,23,12,2.18
1976,LANPD00,"New Orleans, LA",557327,264,12,47.37
1976,NY03030,"New York City, NY",7530493,3400,12,45.15
1976,NJNPD00,"Newark, NJ",367886,323,12,87.8
1976,CA00109,"Oakland, CA",333100,309,12,92.76
1976,OK05506,"Oklahoma City, OK",376522,228,12,60.55
1976,NB02802,"Omaha, NE",388592,193,12,49.67
1976,FL04804,"Orlando, FL",116848,98,12,83.87
1976,PAPEP00,"Philadelphia, PA",1916665,764,12,39.86
1976,AZ00723,"Phoenix, AZ",669005,240,12,35.87
1976,PAPPD00,"Pittsburgh, PA",487106,287,12,58.92
1976,OR02602,"Portland, OR",379818,322,12,84.78
1976,MD01721,"Prince George's County, MD",578318,280,12,48.42
1976,NC09201,"Raleigh, NC",148093,29,12,19.58
1976,CA03404,"Sacramento, CA",260700,192,12,73.65
1976,UT01803,"Salt Lake City, UT",175400,102,12,58.15
1976,TXSPD00,"San Antonio, TX",753069,263,12,34.92
1976,CA03711,"San Diego, CA",773400,233,12,30.13
1976,CA03801,"San Francisco, CA",665000,619,12,93.08
1976,CA04313,"San Jose, CA",557700,296,12,53.08
1976,WASPD00,"Seattle, WA",503500,322,12,63.95
1976,MOSPD00,"St. Louis, MO",534206,489,12,91.54
1976,NY05101,"Suffolk County, NY",1177192,126,12,10.7
1976,FL02902,"Tampa, FL",274568,162,12,59
1976,AZ01003,"Tucson, AZ",340927,136,12,39.89
1976,OK07205,"Tulsa, OK",349516,131,12,37.48
1976,VA12800,"Virginia Beach, VA",216176,59,12,27.29
1976,DCMPD00,"Washington, DC",702000,508,12,72.36
1976,KS08703,"Wichita, KS",256455,111,12,43.28
1976,,United States,,,,
1977,NM00101,"Albuquerque, NM",292341,207,12,70.81
1977,TX22001,"Arlington, TX",112994,34,12,30.09
1977,GAAPD00,"Atlanta, GA",440300,510,12,115.83
1977,CO00101,"Aurora, CO",137200,42,12,30.61
1977,TX22701,"Austin, TX",321900,187,12,58.09
1977,MD00301,"Baltimore County, MD",643363,162,12,25.18
1977,MDBPD00,"Baltimore, MD",827494,499,12,60.3
1977,MA01301,"Boston, MA",619321,408,12,65.88
1977,NY01401,"Buffalo, NY",415352,236,12,56.82
1977,NC06001,"Charlotte, NC",262314,119,12,45.37
1977,ILCPD00,"Chicago, IL",3086806,1227,12,39.75
1977,OHCIP00,"Cincinnati, OH",423671,291,12,68.69
1977,OHCLP00,"Cleveland, OH",638793,508,12,79.52
1977,OHCOP00,"Columbus, OH",568800,331,12,58.19
1977,TXDPD00,"Dallas, TX",873700,637,12,72.91
1977,CODPD00,"Denver, CO",520200,466,12,89.58
1977,MI82349,"Detroit, MI",1316352,1277,12,97.01
1977,TX07102,"El Paso, TX",386000,107,12,27.72
1977,VA02901,"Fairfax County, VA",517610,89,12,17.19
1977,TX22012,"Fort Worth, TX",383028,208,12,54.3
1977,CA01005,"Fresno, CA",182629,71,12,38.88
1977,HI00200,"Honolulu, HI",721983,176,12,24.38
1977,TXHPD00,"Houston, TX",1613303,965,12,59.82
1977,INIPD00,"Indianapolis, IN",509000,346,12,67.98
1977,FL01602,"Jacksonville, FL",528698,299,12,56.55
1977,MOKPD00,"Kansas City, MO",492055,325,12,66.05
1977,NV00201,"Las Vegas, NV",279791,183,12,65.41
1977,CA01941,"Long Beach, CA",346662,226,12,65.19
1977,CA01900,"Los Angeles County, CA",1040180,631,12,60.66
1977,CA01942,"Los Angeles, CA",2785393,2339,12,83.97
1977,KY05680,"Louisville, KY",,,,
1977,TNMPD00,"Memphis, TN",667150,581,12,87.09
1977,AZ00717,"Mesa, AZ",116400,34,12,29.21
1977,FL01300,"Miami-Dade County, FL",657954,277,12,42.1
1977,FL01306,"Miami, FL",333713,178,12,53.34
1977,WIMPD00,"Milwaukee, WI",640489,213,12,33.26
1977,MN02711,"Minneapolis, MN",390294,324,12,83.01
1977,MD01604,"Montgomery County, MD",491003,105,12,21.38
1977,TN01901,"Nashville, TN",456589,187,12,40.96
1977,NY02900,"Nassau County, NY",1044946,48,12,4.59
1977,LANPD00,"New Orleans, LA",587776,360,12,61.25
1977,NY03030,"New York City, NY",7481613,3899,12,52.11
1977,NJNPD00,"Newark, NJ",351412,324,12,92.2
1977,CA00109,"Oakland, CA",339264,366,12,107.88
1977,OK05506,"Oklahoma City, OK",373570,251,12,67.19
1977,NB02802,"Omaha, NE",367281,172,12,46.83
1977,FL04804,"Orlando, FL",118374,85,12,71.81
1977,PAPEP00,"Philadelphia, PA",1897706,771,12,40.63
1977,AZ00723,"Phoenix, AZ",682200,316,12,46.32
1977,PAPPD00,"Pittsburgh, PA",482413,252,12,52.24
1977,OR02602,"Portland, OR",385230,337,12,87.48
1977,MD01721,"Prince George's County, MD",550201,264,12,47.98
1977,NC09201,"Raleigh, NC",152840,39,12,25.52
1977,CA03404,"Sacramento, CA",265220,205,12,77.29
1977,UT01803,"Salt Lake City, UT",180122,112,12,62.18
1977,TXSPD00,"San Antonio, TX",764217,273,12,35.72
1977,CA03711,"San Diego, CA",788621,298,12,37.79
1977,CA03801,"San Francisco, CA",676625,595,12,87.94
1977,CA04313,"San Jose, CA",568303,322,12,56.66
1977,WASPD00,"Seattle, WA",500000,370,12,74
1977,MOSPD00,"St. Louis, MO",512059,473,12,92.37
1977,NY05101,"Suffolk County, NY",1140882,133,12,11.66
1977,FL02902,"Tampa, FL",264848,195,12,73.63
1977,AZ01003,"Tucson, AZ",306500,116,12,37.85
1977,OK07205,"Tulsa, OK",352674,172,12,48.77
1977,VA12800,"Virginia Beach, VA",235324,80,12,34
1977,DCMPD00,"Washington, DC",690000,402,12,58.26
1977,KS08703,"Wichita, KS",261732,121,12,46.23
1977,,United States,,,,
1978,NM00101,"Albuquerque, NM",291834,187,12,64.08
1978,TX22001,"Arlington, TX",121750,43,12,35.32
1978,GAAPD00,"Atlanta, GA",456000,592,12,129.82
1978,CO00101,"Aurora, CO",131499,83,12,63.12
1978,TX22701,"Austin, TX",331557,194,12,58.51
1978,MD00301,"Baltimore County, MD",641120,168,12,26.2
1978,MDBPD00,"Baltimore, MD",781730,554,12,70.87
1978,MA01301,"Boston, MA",616225,475,12,77.08
1978,NY01401,"Buffalo, NY",391695,221,12,56.42
1978,NC06001,"Charlotte, NC",309101,114,12,36.88
1978,ILCPD00,"Chicago, IL",3086699,1341,12,43.44
1978,OHCIP00,"Cincinnati, OH",405324,287,12,70.81
1978,OHCLP00,"Cleveland, OH",614512,507,12,82.5
1978,OHCOP00,"Columbus, OH",578338,309,12,53.43
1978,TXDPD00,"Dallas, TX",871832,822,12,94.28
1978,CODPD00,"Denver, CO",485547,577,12,118.84
1978,MI82349,"Detroit, MI",1294359,1288,12,99.51
1978,TX07102,"El Paso, TX",399000,121,12,30.33
1978,VA02901,"Fairfax County, VA",522890,94,12,17.98
1978,TX22012,"Fort Worth, TX",375860,265,12,70.5
1978,CA01005,"Fresno, CA",194774,114,12,58.53
1978,HI00200,"Honolulu, HI",725259,187,12,25.78
1978,TXHPD00,"Houston, TX",1486489,1098,12,73.87
1978,INIPD00,"Indianapolis, IN",513271,341,12,66.44
1978,FL01602,"Jacksonville, FL",523199,278,12,53.13
1978,MOKPD00,"Kansas City, MO",463931,342,12,73.72
1978,NV00201,"Las Vegas, NV",288865,192,12,66.47
1978,CA01941,"Long Beach, CA",344154,246,12,71.48
1978,CA01900,"Los Angeles County, CA",972663,595,12,61.17
1978,CA01942,"Los Angeles, CA",2787525,2467,12,88.5
1978,KY05680,"Louisville, KY",,,,
1978,TNMPD00,"Memphis, TN",683112,664,12,97.2
1978,AZ00717,"Mesa, AZ",124937,40,12,32.02
1978,FL01300,"Miami-Dade County, FL",669511,334,12,49.89
1978,FL01306,"Miami, FL",330060,207,12,62.72
1978,WIMPD00,"Milwaukee, WI",623657,288,12,46.18
1978,MN02711,"Minneapolis, MN",374800,307,12,81.91
1978,MD01604,"Montgomery County, MD",525247,110,12,20.94
1978,TN01901,"Nashville, TN",452440,217,12,47.96
1978,NY02900,"Nassau County, NY",1100131,23,12,2.09
1978,LANPD00,"New Orleans, LA",559160,406,12,72.61
1978,NY03030,"New York City, NY",7242886,3882,12,53.6
1978,NJNPD00,"Newark, NJ",325679,315,12,96.72
1978,CA00109,"Oakland, CA",327756,351,12,107.09
1978,OK05506,"Oklahoma City, OK",381184,314,12,82.37
1978,NB02802,"Omaha, NE",364446,162,12,44.45
1978,FL04804,"Orlando, FL",118393,107,12,90.38
1978,PAPEP00,"Philadelphia, PA",1885533,724,12,38.4
1978,AZ00723,"Phoenix, AZ",696763,463,12,66.45
1978,PAPPD00,"Pittsburgh, PA",479443,231,12,48.18
1978,OR02602,"Portland, OR",362497,371,12,102.35
1978,MD01721,"Prince George's County, MD",554087,316,12,57.03
1978,NC09201,"Raleigh, NC",150124,48,12,31.97
1978,CA03404,"Sacramento, CA",261465,218,12,83.38
1978,UT01803,"Salt Lake City, UT",185000,131,12,70.81
1978,TXSPD00,"San Antonio, TX",816780,304,12,37.22
1978,CA03711,"San Diego, CA",797293,316,12,39.63
1978,CA03801,"San Francisco, CA",658611,583,12,88.52
1978,CA04313,"San Jose, CA",587621,367,12,62.46
1978,WASPD00,"Seattle, WA",489961,360,12,73.48
1978,MOSPD00,"St. Louis, MO",525123,497,12,94.64
1978,NY05101,"Suffolk County, NY",1157014,142,12,12.27
1978,FL02902,"Tampa, FL",263175,253,12,96.13
1978,AZ01003,"Tucson, AZ",309200,155,12,50.13
1978,OK07205,"Tulsa, OK",356000,193,12,54.21
1978,VA12800,"Virginia Beach, VA",240654,67,12,27.84
1978,DCMPD00,"Washington, DC",674000,447,12,66.32
1978,KS08703,"Wichita, KS",260642,133,12,51.03
1978,,United States,,,,
1979,NM00101,"Albuquerque, NM",302120,215,12,71.16
1979,TX22001,"Arlington, TX",130265,52,12,39.92
1979,GAAPD00,"Atlanta, GA",423103,656,12,155.04
1979,CO00101,"Aurora, CO",134224,78,12,58.11
1979,TX22701,"Austin, TX",337727,216,12,63.96
1979,MD00301,"Baltimore County, MD",639872,182,12,28.44
1979,MDBPD00,"Baltimore, MD",790901,564,12,71.31
1979,MA01301,"Boston, MA",599582,464,12,77.39
1979,NY01401,"Buffalo, NY",383915,265,12,69.03
1979,NC06001,"Charlotte, NC",300569,115,12,38.26
1979,ILCPD00,"Chicago, IL",3060801,1655,12,54.07
1979,OHCIP00,"Cincinnati, OH",404661,282,12,69.69
1979,OHCLP00,"Cleveland, OH",601381,612,12,101.77
1979,OHCOP00,"Columbus, OH",534052,423,12,79.21
1979,TXDPD00,"Dallas, TX",882225,983,12,111.42
1979,CODPD00,"Denver, CO",486407,626,12,128.7
1979,MI82349,"Detroit, MI",1258924,1369,12,108.74
1979,TX07102,"El Paso, TX",413244,175,12,42.35
1979,VA02901,"Fairfax County, VA",519384,124,12,23.87
1979,TX22012,"Fort Worth, TX",384582,345,12,89.71
1979,CA01005,"Fresno, CA",194849,148,12,75.96
1979,HI00200,"Honolulu, HI",734368,223,12,30.37
1979,TXHPD00,"Houston, TX",1619644,1481,12,91.44
1979,INIPD00,"Indianapolis, IN",513877,439,12,85.43
1979,FL01602,"Jacksonville, FL",546419,372,12,68.08
1979,MOKPD00,"Kansas City, MO",462914,436,12,94.19
1979,NV00201,"Las Vegas, NV",324220,198,12,61.07
1979,CA01941,"Long Beach, CA",349158,278,12,79.62
1979,CA01900,"Los Angeles County, CA",911864,694,12,76.11
1979,CA01942,"Los Angeles, CA",2863412,2508,12,87.59
1979,KY05680,"Louisville, KY",,,,
1979,TNMPD00,"Memphis, TN",682110,704,12,103.21
1979,AZ00717,"Mesa, AZ",115498,53,12,45.89
1979,FL01300,"Miami-Dade County, FL",677573,428,12,63.17
1979,FL01306,"Miami, FL",362840,261,12,71.93
1979,WIMPD00,"Milwaukee, WI",645097,283,12,43.87
1979,MN02711,"Minneapolis, MN",363899,327,12,89.86
1979,MD01604,"Montgomery County, MD",522756,130,12,24.87
1979,TN01901,"Nashville, TN",444443,266,12,59.85
1979,NY02900,"Nassau County, NY",1105718,39,12,3.53
1979,LANPD00,"New Orleans, LA",567656,423,12,74.52
1979,NY03030,"New York City, NY",7109420,3875,12,54.51
1979,NJNPD00,"Newark, NJ",315818,417,12,132.04
1979,CA00109,"Oakland, CA",344686,373,12,108.21
1979,OK05506,"Oklahoma City, OK",381348,311,12,81.55
1979,NB02802,"Omaha, NE",370326,193,12,52.12
1979,FL04804,"Orlando, FL",121515,133,12,109.45
1979,PAPEP00,"Philadelphia, PA",1757368,838,12,47.68
1979,AZ00723,"Phoenix, AZ",718216,477,12,66.41
1979,PAPPD00,"Pittsburgh, PA",439407,263,12,59.85
1979,OR02602,"Portland, OR",406525,435,12,107
1979,MD01721,"Prince George's County, MD",559514,346,12,61.84
1979,NC09201,"Raleigh, NC",140285,46,12,32.79
1979,CA03404,"Sacramento, CA",274300,219,12,79.84
1979,UT01803,"Salt Lake City, UT",180189,155,12,86.02
1979,TXSPD00,"San Antonio, TX",829138,367,12,44.26
1979,CA03711,"San Diego, CA",829322,331,12,39.91
1979,CA03801,"San Francisco, CA",659176,664,12,100.73
1979,CA04313,"San Jose, CA",604993,407,12,67.27
1979,WASPD00,"Seattle, WA",521590,421,12,80.71
1979,MOSPD00,"St. Louis, MO",505451,555,12,109.8
1979,NY05101,"Suffolk County, NY",1165851,178,12,15.27
1979,FL02902,"Tampa, FL",277203,308,12,111.11
1979,AZ01003,"Tucson, AZ",315978,184,12,58.23
1979,OK07205,"Tulsa, OK",343258,196,12,57.1
