report_year,agency_code,agency_jurisdiction,population,robberies,months_reported,robberies_percapita
1975,NM00101,"Albuquerque, NM",286238,819,12,286.13
1975,TX22001,"Arlington, TX",112478,113,12,100.46
1975,GAAPD00,"Atlanta, GA",490584,3887,12,792.32
1975,CO00101,"Aurora, CO",116656,171,12,146.58
1975,TX22701,"Austin, TX",300400,529,12,176.1
1975,MD00301,"Baltimore County, MD",642154,750,12,116.79
1975,MDBPD00,"Baltimore, MD",864100,9055,12,1047.91
1975,MA01301,"Boston, MA",616120,7778,12,1262.42
1975,NY01401,"Buffalo, NY",422276,2340,12,554.14
1975,NC06001,"Charlotte, NC",262103,822,12,313.62
1975,ILCPD00,"Chicago, IL",3150000,22171,12,703.84
1975,OHCIP00,"Cincinnati, OH",433367,1745,12,402.66
1975,OHCLP00,"Cleveland, OH",659931,7100,12,1075.87
1975,OHCOP00,"Columbus, OH",572797,2402,12,419.35
1975,TXDPD00,"Dallas, TX",864665,3386,12,391.6
1975,CODPD00,"Denver, CO",508140,2568,12,505.37
1975,MI82349,"Detroit, MI",1432444,21317,12,1488.16
1975,TX07102,"El Paso, TX",369000,840,12,227.64
1975,VA02901,"Fairfax County, VA",487905,433,12,88.75
1975,TX22012,"Fort Worth, TX",381275,1207,12,316.57
1975,CA01005,"Fresno, CA",176500,567,12,321.25
1975,HI00200,"Honolulu, HI",705262,1050,12,148.88
1975,TXHPD00,"Houston, TX",1372342,6422,12,467.96
1975,INIPD00,"Indianapolis, IN",503411,3092,12,614.21
1975,FL01602,"Jacksonville, FL",542792,1727,12,318.17
1975,MOKPD00,"Kansas City, MO",489094,3081,12,629.94
1975,NV00201,"Las Vegas, NV",249186,1345,12,539.76
1975,CA01941,"Long Beach, CA",340758,1959,12,574.89
1975,CA01900,"Los Angeles County, CA",1022888,3055,12,298.66
1975,CA01942,"Los Angeles, CA",2729878,14590,12,534.46
1975,KY05680,"Louisville, KY",,,,
1975,TNMPD00,"Memphis, TN",646483,2983,12,461.42
1975,AZ00717,"Mesa, AZ",113176,98,12,86.59
1975,FL01300,"Miami-Dade County, FL",619795,2426,11,391.42
1975,FL01306,"Miami, FL",350742,2657,12,757.54
1975,WIMPD00,"Milwaukee, WI",674369,1968,12,291.83
1975,MN02711,"Minneapolis, MN",405378,1838,12,453.4
1975,MD01604,"Montgomery County, MD",496092,578,12,116.51
1975,TN01901,"Nashville, TN",449600,2003,12,445.51
1975,NY02900,"Nassau County, NY",1100426,686,12,62.34
1975,LANPD00,"New Orleans, LA",571934,3596,12,628.74
1975,NY03030,"New York City, NY",7422506,83190,12,1120.78
1975,NJNPD00,"Newark, NJ",372663,4273,12,1146.61
1975,CA00109,"Oakland, CA",337748,3185,12,943.01
1975,OK05506,"Oklahoma City, OK",384081,992,12,258.28
1975,NB02802,"Omaha, NE",391389,1211,12,309.41
1975,FL04804,"Orlando, FL",118457,304,12,256.63
1975,PAPEP00,"Philadelphia, PA",1883253,10405,12,552.5
1975,AZ00723,"Phoenix, AZ",668046,1938,12,290.1
1975,PAPPD00,"Pittsburgh, PA",479083,2744,12,572.76
1975,OR02602,"Portland, OR",373126,1843,12,493.94
1975,MD01721,"Prince George's County, MD",569452,2147,12,377.03
1975,NC09201,"Raleigh, NC",149940,221,12,147.39
1975,CA03404,"Sacramento, CA",262994,1128,12,428.91
1975,UT01803,"Salt Lake City, UT",180000,582,12,323.33
1975,TXSPD00,"San Antonio, TX",768814,1730,12,225.02
1975,CA03711,"San Diego, CA",768713,2199,12,286.06
1975,CA03801,"San Francisco, CA",669977,5687,12,848.84
1975,CA04313,"San Jose, CA",549367,887,12,161.46
1975,WASPD00,"Seattle, WA",503500,2103,12,417.68
1975,MOSPD00,"St. Louis, MO",569000,6288,12,1105.1
1975,NY05101,"Suffolk County, NY",1217700,531,9,43.61
1975,FL02902,"Tampa, FL",291103,1394,12,478.87
1975,AZ01003,"Tucson, AZ",340500,707,12,207.64
1975,OK07205,"Tulsa, OK",347600,581,12,167.15
1975,VA12800,"Virginia Beach, VA",217192,194,12,89.32
1975,DCMPD00,"Washington, DC",716000,9137,12,1276.12
1975,KS08703,"Wichita, KS",259240,640,12,246.88
1975,,United States,,,,
1976,NM00101,"Albuquerque, NM",292265,871,12,298.02
1976,TX22001,"Arlington, TX",107470,99,12,92.12
1976,GAAPD00,"Atlanta, GA",457300,3380,12,739.12
1976,CO00101,"Aurora, CO",132000,166,12,125.76
1976,TX22701,"Austin, TX",284908,518,12,181.81
1976,MD00301,"Baltimore County, MD",642369,688,12,107.1
1976,MDBPD00,"Baltimore, MD",860974,7755,12,900.72
1976,MA01301,"Boston, MA",619437,6125,12,988.8
1976,NY01401,"Buffalo, NY",425101,1937,12,455.66
1976,NC06001,"Charlotte, NC",274020,731,12,266.77
1976,ILCPD00,"Chicago, IL",3134499,17577,12,560.76
1976,OHCIP00,"Cincinnati, OH",427045,1525,12,357.11
1976,OHCLP00,"Cleveland, OH",642298,5453,12,848.98
1976,OHCOP00,"Columbus, OH",595500,1921,12,322.59
1976,TXDPD00,"Dallas, TX",888450,3113,12,350.39
