report_year,agency_code,agency_jurisdiction,population,violent_crimes,months_reported,crimes_percapita
1975,NM00101,"Albuquerque, NM",286238,2383,12,832.52
1975,TX22001,"Arlington, TX",112478,278,12,247.16
1975,GAAPD00,"Atlanta, GA",490584,8033,12,1637.44
1975,CO00101,"Aurora, CO",116656,611,12,523.76
1975,TX22701,"Austin, TX",300400,1215,12,404.46
1975,MD00301,"Baltimore County, MD",642154,1259,12,196.06
1975,MDBPD00,"Baltimore, MD",864100,16086,12,1861.59
1975,MA01301,"Boston, MA",616120,11386,12,1848.02
1975,NY01401,"Buffalo, NY",422276,3350,12,793.32
1975,NC06001,"Charlotte, NC",262103,1937,12,739.02
1975,ILCPD00,"Chicago, IL",3150000,37160,12,1179.68
1975,OHCIP00,"Cincinnati, OH",433367,3578,12,825.63
1975,OHCLP00,"Cleveland, OH",659931,10403,12,1576.38
1975,OHCOP00,"Columbus, OH",572797,3980,12,694.84
1975,TXDPD00,"Dallas, TX",864665,7655,12,885.31
1975,CODPD00,"Denver, CO",508140,4960,12,976.11
1975,MI82349,"Detroit, MI",1432444,30387,12,2121.34
1975,TX07102,"El Paso, TX",369000,1618,12,438.48
1975,VA02901,"Fairfax County, VA",487905,805,12,164.99
1975,TX22012,"Fort Worth, TX",381275,1939,12,508.56
1975,CA01005,"Fresno, CA",176500,1141,12,646.46
1975,HI00200,"Honolulu, HI",705262,1596,12,226.3
1975,TXHPD00,"Houston, TX",1372342,8924,12,650.28
1975,INIPD00,"Indianapolis, IN",503411,4655,12,924.69
1975,FL01602,"Jacksonville, FL",542792,4579,12,843.6
1975,MOKPD00,"Kansas City, MO",489094,6072,12,1241.48
1975,NV00201,"Las Vegas, NV",249186,2594,12,1040.99
1975,CA01941,"Long Beach, CA",340758,3189,12,935.85
1975,CA01900,"Los Angeles County, CA",1022888,9792,12,957.29
1975,CA01942,"Los Angeles, CA",2729878,30405,12,1113.79
1975,KY05680,"Louisville, KY",,,,
1975,TNMPD00,"Memphis, TN",646483,5429,12,839.77
1975,AZ00717,"Mesa, AZ",113176,267,12,235.92
1975,FL01300,"Miami-Dade County, FL",619795,6702,11,1081.33
1975,FL01306,"Miami, FL",350742,6213,12,1771.39
1975,WIMPD00,"Milwaukee, WI",674369,3204,12,475.11
1975,MN02711,"Minneapolis, MN",405378,3326,12,820.47
1975,MD01604,"Montgomery County, MD",496092,967,12,194.92
1975,TN01901,"Nashville, TN",449600,3158,12,702.4
1975,NY02900,"Nassau County, NY",1100426,993,12,90.24
1975,LANPD00,"New Orleans, LA",571934,5993,12,1047.85
1975,NY03030,"New York City, NY",7422506,132182,12,1780.83
1975,NJNPD00,"Newark, NJ",372663,7136,12,1914.87
1975,CA00109,"Oakland, CA",337748,5900,12,1746.86
1975,OK05506,"Oklahoma City, OK",384081,2666,12,694.12
1975,NB02802,"Omaha, NE",391389,2540,12,648.97
1975,FL04804,"Orlando, FL",118457,1116,12,942.11
1975,PAPEP00,"Philadelphia, PA",1883253,16332,12,867.22
1975,AZ00723,"Phoenix, AZ",668046,4649,12,695.91
1975,PAPPD00,"Pittsburgh, PA",479083,4967,12,1036.77
1975,OR02602,"Portland, OR",373126,4076,12,1092.39
1975,MD01721,"Prince George's County, MD",569452,4147,12,728.24
1975,NC09201,"Raleigh, NC",149940,721,12,480.86
1975,CA03404,"Sacramento, CA",262994,2412,12,917.13
1975,UT01803,"Salt Lake City, UT",180000,1070,12,594.44
1975,TXSPD00,"San Antonio, TX",768814,4222,12,549.16
1975,CA03711,"San Diego, CA",768713,3859,12,502.01
1975,CA03801,"San Francisco, CA",669977,9137,12,1363.78
1975,CA04313,"San Jose, CA",549367,2116,12,385.17
1975,WASPD00,"Seattle, WA",503500,3971,12,788.68
1975,MOSPD00,"St. Louis, MO",569000,10563,12,1856.41
1975,NY05101,"Suffolk County, NY",1217700,964,9,79.17
1975,FL02902,"Tampa, FL",291103,3168,12,1088.27
1975,AZ01003,"Tucson, AZ",340500,1810,12,531.57
1975,OK07205,"Tulsa, OK",347600,1768,12,508.63
1975,VA12800,"Virginia Beach, VA",217192,452,12,208.11
1975,DCMPD00,"Washington, DC",716000,12704,12,1774.3
1975,KS08703,"Wichita, KS",259240,1137,12,438.59
1975,,United States,,1039710,,487.8
1976,NM00101,"Albuquerque, NM",292265,2420,12,828.02
1976,TX22001,"Arlington, TX",107470,274,12,254.95
1976,GAAPD00,"Atlanta, GA",457300,7529,12,1646.4
1976,CO00101,"Aurora, CO",132000,546,12,413.64
1976,TX22701,"Austin, TX",284908,1202,12,421.89
1976,MD00301,"Baltimore County, MD",642369,1798,12,279.9
1976,MDBPD00,"Baltimore, MD",860974,14191,12,1648.25
1976,MA01301,"Boston, MA",619437,9888,12,1596.29
1976,NY01401,"Buffalo, NY",425101,3091,12,727.12
1976,NC06001,"Charlotte, NC",274020,1895,12,691.56
1976,ILCPD00,"Chicago, IL",3134499,30640,12,977.51
1976,OHCIP00,"Cincinnati, OH",427045,3461,12,810.45
1976,OHCLP00,"Cleveland, OH",642298,8496,12,1322.75
1976,OHCOP00,"Columbus, OH",595500,3287,12,551.97
1976,TXDPD00,"Dallas, TX",888450,7244,12,815.35
1976,CODPD00,"Denver, CO",523676,4107,12,784.26
1976,MI82349,"Detroit, MI",1334100,29699,12,2226.14
1976,TX07102,"El Paso, TX",361413,1573,12,435.24
1976,VA02901,"Fairfax County, VA",524272,708,12,135.04
1976,TX22012,"Fort Worth, TX",364302,1732,12,475.43
1976,CA01005,"Fresno, CA",177900,1267,12,712.2
1976,HI00200,"Honolulu, HI",718424,1696,12,236.07
1976,TXHPD00,"Houston, TX",1477000,8045,12,544.69
1976,INIPD00,"Indianapolis, IN",494730,4144,12,837.63
1976,FL01602,"Jacksonville, FL",543839,4443,12,816.97
1976,MOKPD00,"Kansas City, MO",488012,5578,12,1143
1976,NV00201,"Las Vegas, NV",265347,2473,12,931.99
1976,CA01941,"Long Beach, CA",340900,2950,12,865.36
1976,CA01900,"Los Angeles County, CA",1027865,10104,12,983.01
1976,CA01942,"Los Angeles, CA",2739100,31960,12,1166.81
1976,KY05680,"Louisville, KY",,,,
1976,TNMPD00,"Memphis, TN",649819,4780,12,735.59
